date,user_name,text
2010-06-10 16:10:00,realDonaldTrump,WSJ covers Ride of Fame http://online.wsj.com/article/SB10001424052748704575304575297082506166258.html?mod=WSJ_NY_RealEstate_MIDDLE_LSMini
2010-06-15 13:49:00,realDonaldTrump,"Had a fantastic dinner last night at Quattro, in the Trump SoHo Hotel. It's already one of the hottest new restaurants in the city."
2010-06-15 13:51:00,realDonaldTrump,And Trump SoHo New York is one of the hottest new hotels anywhere.... http://www.trump.com/Hotel_Collection/Trump_SoHo/Trump_SoHo.asp
2010-06-17 14:36:00,realDonaldTrump,"""Tune in tonight at 9 pm on TV One for """"The Ultimate Merger"""" starring the one and only Omarosa and twelve brave bachelors ..."""
2010-06-17 14:38:00,realDonaldTrump,The Ultimate Merger:  http://www.nydailynews.com/entertainment/tv/2010/06/17/2010-06-17_omarosa_is_back_and_this_time_its_personal.html
2010-06-21 13:18:00,realDonaldTrump,Tonight be sure to watch Melania and Ivanka on Larry King Live for a Celebrity Relief Telethon  http://larrykinglive.blogs.cnn.com/
2010-06-21 15:18:00,realDonaldTrump,"For more information on tonight's two hour telethon, 8 to 10 p.m.:  http://twitter.com/kingsthings"
2010-06-22 16:09:00,realDonaldTrump,Great job on the Larry King Live Gulf Telethon last night--$1.3 million was raised in 2 hours.
2010-06-24 18:44:00,realDonaldTrump,"The Eric Trump Foundation has raised over $1,000,000 towards St. Jude Children's Research Hospital.  http://twitter.com/EricTrumpFdn"
2010-06-28 14:22:00,realDonaldTrump,"""""""Trading Shots with Donald Trump""""--a great article in the Wall Street Journalhttp://bit.ly/c9eZbq"""
2010-07-01 14:11:00,realDonaldTrump,Work is expected to begin today on my golf course in Scotland. It will be spectacular! http://bit.ly/blp1Tq
2010-07-02 13:41:00,realDonaldTrump,Wishing everyone a wonderful Independence Day weekend. We have a lot to be thankful for.
2010-07-02 15:27:00,realDonaldTrump,"Due to popular demand, CNN will re-broadcast  the Larry King Live show I hosted in June, in which I interview Larry. Monday July 5, 9 pm CNN"
2010-07-06 14:52:00,realDonaldTrump,The new edition of The Apprentice will be on Thursdays this fall at 10 pm ET---I'm putting people back to work!
2010-07-14 16:28:00,realDonaldTrump,George Steinbrenner was a great friend and a true legend. There will never be anyone like him in New York. We've lost a truly great man.
2010-07-19 20:29:00,realDonaldTrump,Visited some very beautiful golf courses this weekend...this is one...http://www.trump.com/Golf_Clubs/Hudson_Valley/Hudson_Valley.asp
2010-07-19 20:36:00,realDonaldTrump,and here's another....http://www.trump.com/Golf_Clubs/Colts_Neck/Colts_Neck.asp
2010-07-19 21:03:00,realDonaldTrump,and yet another ...all of them are spectacular.  http://www.trump.com/Golf_Clubs/Westchester/Westchester.asp
2010-07-20 15:10:00,realDonaldTrump,"I'm proud to accept the 2010 HollyRod Foundation Humanitarian Award from Holly Robinson Peete, who raised $700,000 on Celebrity Apprentice"
2010-07-29 21:03:00,realDonaldTrump,Could this be my newest apprentice? http://www.youtube.com/user/MattressSerta ...Enter the contest .. .http://www.facebook.com/sertamattress
2010-07-29 21:07:00,realDonaldTrump,I'm helping the Serta Counting Sheep get back to work. Enter the contest http://www.facebook.com/sertamattress and win a trip to Las Vegas..
2010-07-29 21:13:00,realDonaldTrump,and stay at  the fantastic Trump International Hotel Las Vegas ...http://www.trump.com/Hotel_Collection/Trump_Las_Vegas/Trump_Las_Vegas.asp
2010-07-30 15:41:00,realDonaldTrump,Enter the contest....http://www.facebook.com/sertamattress...and stay at Trump International Hotel Las Vegas
2010-08-04 14:15:00,realDonaldTrump,"The Miss Universe Pageant will be on August 23 (9-11 p.m. on NBC, ET) with Bret Michaels and Natalie Morales to co-host, live from Las Vegas"
2010-08-04 14:19:00,realDonaldTrump,"Performing live on the Miss Universe Pageant from the Mandalay Bay Resort & Casino will be Telemundo, Orianthi, John Legend and The Roots."
2010-08-09 13:38:00,realDonaldTrump,Mark your calenders for August 23rd:  http://www.missuniverse.com/
2010-08-12 14:46:00,realDonaldTrump,Eric's Sept. 14th event will be held at Trump National Golf Club Westchester. http://www.trump.com/Golf_Clubs/Westchester/Westchester.asp
2010-08-12 20:35:00,realDonaldTrump,Check out the last webisode in our 3 part series featuring me with Serta. Which one was your favorite?  www.youtube.com/user/mattressserta
2010-08-12 20:46:00,realDonaldTrump,Check out the last webisode www.youtube.com/user/mattressserta in our 3 part series featuring me with Serta. Which one was your favorite?
2010-08-12 20:49:00,realDonaldTrump,Friday is the last day to enter the Counting Sheep for Hire contest. Click here www.youtube.com/user/mattressserta and you could win a trip
2010-08-12 20:52:00,realDonaldTrump,That trip would be to the Trump International Hotel Las Vegas...http://www.trump.com/Hotel_Collection/Trump_Las_Vegas/Trump_Las_Vegas.asp
2010-08-12 20:55:00,realDonaldTrump,So don't forget to enter the Serta Counting Sheep for Hire contest!  www.youtube.com/user/mattressserta
